id,name,producturl,bigimage,smallimage,price,Description,category1
Category_Page,Inspection Services,http://www.asiainspection.com/quality-control-services#inspections?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/inspection_services.jpg,https://s3.asiainspection.com/images/criteo/300x300/inspection_services.jpg,309,"Quality Product, Quality Supply Chain",Inspection Services
Inspection_PSI,Pre-Shipment Inspection,http://www.asiainspection.com/pre-shipment-inspection?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/pre-shipment-inspection.jpg,https://s3.asiainspection.com/images/criteo/300x300/pre-shipment-inspection.jpg,309,Catch defects BEFORE they leave the factory.,Inspection Services
Inspection_PM,Production Monitoring,http://www.asiainspection.com/production-monitoring?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/production_monitoring.jpg,https://s3.asiainspection.com/images/criteo/300x300/production_monitoring.jpg,309,Ensure quality at each stage of production.,Inspection Services
Inspection_DUPRO,During Production Check,http://www.asiainspection.com/during-production-inspection?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/during_production_check.jpg,https://s3.asiainspection.com/images/criteo/300x300/during_production_check.jpg,309,Keep your production & quality on track. Book Now,Inspection Services
Inspection_IPC,Initial Production Check,http://www.asiainspection.com/initial-production-check?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/initial_production_check.jpg,https://s3.asiainspection.com/images/criteo/300x300/initial_production_check.jpg,309,Catch defects before full production runs.,Inspection Services
Inspection_CLC,Container Loading Check,http://www.asiainspection.com/container-loading-check?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/container_loading_check.jpg,https://s3.asiainspection.com/images/criteo/300x300/container_loading_check.jpg,309,Packed and loaded? Time for one last check.,Inspection Services
Audit_MA,Manufacturing Audits,http://www.asiainspection.com/manufacturing-audit?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/manufacturing_audit.jpg,https://s3.asiainspection.com/images/criteo/300x300/manufacturing_audit.jpg,629,Full profile of your supplier's capacities and mgt,Supplier Audits
Audit_EA,Ethical Audits,http://www.asiainspection.com/ethical-audit?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/ethical_audit.jpg,https://s3.asiainspection.com/images/criteo/300x300/ethical_audit.jpg,629,Ensure You Engage with Ethical Suppliers Worldwide,Supplier Audits
Audit_CTPAT,C-TPAT Audits,http://www.asiainspection.com/c-tpat-compliance?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/c-tpat_audit.jpg,https://s3.asiainspection.com/images/criteo/300x300/c-tpat_audit.jpg,629,CTPAT Compliance. Clear US Border Clearance Faster,Supplier Audits
Audit_ENVIRO,Environmental Audits,http://www.asiainspection.com/environmental-audit?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/environmental_audit.jpg,https://s3.asiainspection.com/images/criteo/300x300/environmental_audit.jpg,629,Reduce your supply chain environmental impact,Supplier Audits
Audit_STRUCT,Structural Audits,http://www.asiainspection.com/structural-audits?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/structural_audit.jpg,https://s3.asiainspection.com/images/criteo/300x300/structural_audit.jpg,629,Are your factories safe from fire and collapse?,Supplier Audits
Lab_TESTING,Lab Testing Services,http://www.asiainspection.com/laboratory-testing?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/lab_testing.jpg,https://s3.asiainspection.com/images/criteo/300x300/lab_testing.jpg,10,Meet the safety standards of your target market,Lab Testing
Industry_SOFTLINES,Softlines Testing,http://www.asiainspection.com/industry-softline?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/softlines.jpg,https://s3.asiainspection.com/images/criteo/300x300/softlines.jpg,309,AI's softline expertise ensures quality products,Industry Specific
Industry_HARDLINES,Hardlines Testing,http://www.asiainspection.com/industry-hardline?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/hardlines.jpg,https://s3.asiainspection.com/images/criteo/300x300/hardlines.jpg,309,AI's hardline expertise ensures quality products,Industry Specific
Industry_TECHNICAL,Technical Parts Testing,http://www.asiainspection.com/industry-techparts?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/technical_parts.jpg,https://s3.asiainspection.com/images/criteo/300x300/technical_parts.jpg,309,Inspections & audits by engineers and specialists,Industry Specific
Industry_APPAREL,Garments and Apparel QC,http://www.asiainspection.com/testing/garments-apparel?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/apparel.jpg,https://s3.asiainspection.com/images/criteo/300x300/apparel.jpg,309,QC for the textile and apparel industry.,Industry Specific
Industry_FOOTWEAR,Footwear QC,http://www.asiainspection.com/testing/footwear?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/footwear.jpg,https://s3.asiainspection.com/images/criteo/300x300/footwear.jpg,309,Footwear Inspections and Performance Testing,Industry Specific
White-Papers-Millennial,Ethical Audits,http://www.asiainspection.com/whitepaper/5-Reasons-Why-Millennial-Focused-Brands-Cannot-Afford-to-Ignore-Social-Responsibility?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/300x300/wp_millennial_social_responsibility.jpg,https://s3.asiainspection.com/images/criteo/400x400/wp_millennial_social_responsibility.jpg,609,"What matters to Millennials? Your CSR, for a start",White Papers
White-Papers-Modern-Slavery,Ethical Audits,http://www.asiainspection.com/whitepaper/Modern-Slavery?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/300x300/wp_end_modern_slavery.jpg,https://s3.asiainspection.com/images/criteo/400x400/wp_end_modern_slavery.jpg,609,Slavery is not a thing of the past: 36 M worldwide,White Papers
White-Papers-EA-Supply-Chains-Investment,Ethical Audits,http://www.asiainspection.com/whitepaper/ethical-supply-chains?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/300x300/wp_ethical_supply_chain.jpg,https://s3.asiainspection.com/images/criteo/400x400/wp_ethical_supply_chain.jpg,609,"Ethical Supply Chains an Investment, Not a Cost",White Papers
White_Papers_Ethical_Audits,Ethical Audits,http://www.asiainspection.com/whitepaper/ethical-audits?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/supplier_audit_programs.jpg,https://s3.asiainspection.com/images/criteo/300x300/supplier_audit_programs.jpg,629,Learn How to Build an Ethical Supply Chain,White Papers
Lab_CPSIA,CPSIA Testing,http://www.asiainspection.com/cpsia-testing?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/lab_testing.jpg,https://s3.asiainspection.com/images/criteo/300x300/lab_testing.jpg,10,Test that Your Products Meet CPSIA Standards,Lab Testing
Lab_ROHS,RoHS Testing,http://www.asiainspection.com/rohs-testing?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/lab_testing.jpg,https://s3.asiainspection.com/images/criteo/300x300/lab_testing.jpg,10,Easily book online and ensure RoHS compliance.,Lab Testing
Lab_REACH,REACH Testing,http://www.asiainspection.com/reach-testing?xtor=SEC-110&lang=en&sc=ppc,https://s3.asiainspection.com/images/criteo/400x400/lab_testing.jpg,https://s3.asiainspection.com/images/criteo/300x300/lab_testing.jpg,10,Easily book online and ensure REACH compliance.,Lab Testing
Registration,Registration,http://www.asiainspection.com/register,https://s3.asiainspection.com/images/logo_AI_60x60.png,https://s3.asiainspection.com/images/logo_AI_60x60.png,1,Client Registration,Registration
